FIPSCode;BoroCode;GeogName;GeoID;Pop2;Pop2P;Hsp1;Hsp1P;WNH;WNHP;BNH;BNHP;ANH;ANHP;ONH;ONHP;TwoPlNH;TwoPlNHP
061;1;Manhattan;10032002000;760;100;62;8,2;534;70,3;14;1,8;98;12,9;9;1,2;43;5,7
061;1;Manhattan;10032003000;763;100;100;13,1;468;61,3;40;5,2;132;17,3;6;0,8;17;2,2
061;1;Manhattan;10032003001;920;100;144;15,7;561;61;23;2,5;169;18,4;3;0,3;20;2,2
061;1;Manhattan;10032004000;678;100;70;10,3;443;65,3;11;1,6;135;19,9;11;1,6;8;1,2
061;1;Manhattan;10032005000;680;100;124;18,2;390;57,4;9;1,3;125;18,4;3;0,4;29;4,3
061;1;Manhattan;10032006000;729;100;119;16,3;463;63,5;26;3,6;73;10;12;1,6;36;4,9
061;1;Manhattan;10032006001;1147;100;137;11,9;788;68,7;37;3,2;117;10,2;12;1;56;4,9
061;1;Manhattan;10032007000;0;;0;;0;;0;;0;;0;;0;
061;1;Manhattan;10032007001;21;100;2;9,5;5;23,8;11;52,4;3;14,3;0;;0;
061;1;Manhattan;10032007002;866;100;64;7,4;609;70,3;31;3,6;103;11,9;7;0,8;52;6
061;1;Manhattan;10033001000;44;100;8;18,2;24;54,5;2;4,5;2;4,5;1;2,3;7;15,9
061;1;Manhattan;10033001001;0;;0;;0;;0;;0;;0;;0;
061;1;Manhattan;10033001002;0;;0;;0;;0;;0;;0;;0;
061;1;Manhattan;10033001003;65;100;3;4,6;50;76,9;0;;0;;3;4,6;9;13,8
061;1;Manhattan;10033001004;0;;0;;0;;0;;0;;0;;0;
061;1;Manhattan;10033001005;0;;0;;0;;0;;0;;0;;0;
061;1;Manhattan;10033001006;139;100;4;2,9;120;86,3;0;;15;10,8;0;;0;
061;1;Manhattan;10033001007;53;100;2;3,8;49;92,5;0;;1;1,9;0;;1;1,9
061;1;Manhattan;10033001008;222;100;9;4,1;149;67,1;11;5;40;18;0;;13;5,9
061;1;Manhattan;10033001009;26;100;5;19,2;18;69,2;3;11,5;0;;0;;0;
061;1;Manhattan;10033001010;0;;0;;0;;0;;0;;0;;0;
061;1;Manhattan;10033001011;208;100;6;2,9;154;74;6;2,9;28;13,5;1;0,5;13;6,3
061;1;Manhattan;10033001012;208;100;14;6,7;172;82,7;0;;17;8,2;0;;5;2,4
061;1;Manhattan;10033002000;0;;0;;0;;0;;0;;0;;0;
061;1;Manhattan;10033002001;0;;0;;0;;0;;0;;0;;0;
061;1;Manhattan;10033002002;0;;0;;0;;0;;0;;0;;0;
061;1;Manhattan;10033002003;252;100;12;4,8;210;83,3;1;0,4;19;7,5;0;;10;4
061;1;Manhattan;10033002004;80;100;2;2,5;63;78,8;0;;11;13,8;0;;4;5
061;1;Manhattan;10033002005;0;;0;;0;;0;;0;;0;;0;
061;1;Manhattan;10033002006;0;;0;;0;;0;;0;;0;;0;
061;1;Manhattan;10033002007;105;100;21;20;77;73,3;0;;2;1,9;0;;5;4,8
061;1;Manhattan;10033002008;83;100;14;16,9;36;43,4;5;6;21;25,3;1;1,2;6;7,2
061;1;Manhattan;10033002009;0;;0;;0;;0;;0;;0;;0;
061;1;Manhattan;10033002010;378;100;7;1,9;310;82;6;1,6;37;9,8;0;;18;4,8
